Model,Accuracy,Precision,Recall,F1
Random Forest,0.8909090909090909,0.95,0.7916666666666666,0.8636363636363636
RF + RFECV,0.8909090909090909,0.95,0.7916666666666666,0.8636363636363636
KNN + RFECV with RF scout,0.8545454545454545,0.8333333333333334,0.8333333333333334,0.8333333333333334
Decision Tree,0.8545454545454545,0.8636363636363636,0.7916666666666666,0.8260869565217391
XGB + RFECV,0.8545454545454545,0.8636363636363636,0.7916666666666666,0.8260869565217391
DT + RFECV with RF scout,0.8545454545454545,0.8636363636363636,0.7916666666666666,0.8260869565217391
LR + RFECV,0.8363636363636363,0.8260869565217391,0.7916666666666666,0.8085106382978723
Logistic Regression,0.8363636363636363,0.8260869565217391,0.7916666666666666,0.8085106382978723
XGBoost,0.8363636363636363,0.8260869565217391,0.7916666666666666,0.8085106382978723
SVM,0.8181818181818182,0.7916666666666666,0.7916666666666666,0.7916666666666666
SVM + RFECV,0.8181818181818182,0.7916666666666666,0.7916666666666666,0.7916666666666666
KNN,0.8181818181818182,0.8181818181818182,0.75,0.782608695652174
DT + RFECV,0.6909090909090909,0.6296296296296297,0.7083333333333334,0.6666666666666666
